group,source,factor_id,name,expression,adj_type
alpha101,alpha101,a101_066,Alpha101_微观结构复合反转,"((CSRank(DecayLinear((($amount / $vol) - Ref(($amount / $vol), 4)), 7)) + Rank(DecayLinear((((($low* 0.96633) + ($low* (1 - 0.96633))) - ($amount / $vol)) / ($open - (($high + $low) / 2))), 11), 7))* -1)",前复权
alpha101,alpha101,a101_067,Alpha101_波动调整超短期回归,"((CSRank(($high - Min($high, 2)))**CSRank(Corr(($amount / $vol), Mean($vol, 20), 6)))* -1)",前复权
alpha101,alpha101,a101_068,Alpha101_量价背离均值回归,"((Rank(Corr(CSRank($high), CSRank(Mean($vol, 15)), 9), 14) < CSRank(((($close* 0.518371) + ($low* (1 - 0.518371))) - Ref((($close* 0.518371) + ($low* (1 - 0.518371))), 1.06157))))* -1)",前复权
alpha101,alpha101,a101_069,Alpha101_动态调节均值回归,"((CSRank(Max((($amount / $vol) - Ref(($amount / $vol), 3)), 5))**Rank(Corr((($close* 0.490655) + (($amount / $vol)* (1 - 0.490655))), Mean($vol, 20), 5), 9))* -1)",前复权
alpha101,alpha101,a101_070,Alpha101_动态调制均值回归,"((CSRank((($amount / $vol) - Ref(($amount / $vol), 1.29456)))**Rank(Corr($close, Mean($vol, 50), 18), 18))* -1)",前复权
alpha101,alpha101,a101_071,Alpha101_复合动量微观结构,"Greater(Rank(DecayLinear(Corr(Rank($close, 3), Rank(Mean($vol, 180), 12), 18), 4), 16), Rank(DecayLinear((CSRank((($low + $open) - (($amount / $vol) + ($amount / $vol))))**2), 16), 4))",前复权
alpha101,alpha101,a101_072,Alpha101_量价背离动量重构,"(CSRank(DecayLinear(Corr((($high + $low) / 2), Mean($vol, 40), 9), 10)) / CSRank(DecayLinear(Corr(Rank(($amount / $vol), 4), Rank($vol, 19), 7), 3)))",前复权
alpha101,alpha101,a101_073,Alpha101_价格企稳复合反转,"(Greater(CSRank(DecayLinear((($amount / $vol) - Ref(($amount / $vol), 5)), 3)), Rank(DecayLinear(((((($open* 0.147155) + ($low* (1 - 0.147155))) - Ref((($open* 0.147155) + ($low* (1 - 0.147155))), 2)) / (($open* 0.147155) + ($low* (1 - 0.147155))))* -1), 3), 17))* -1)",前复权
alpha101,alpha101,a101_074,Alpha101_波动期限结构反转,"((CSRank(Corr($close, Sum(Mean($vol, 30), 37), 15)) < CSRank(Corr(CSRank((($high* 0.0261661) + (($amount / $vol)* (1 - 0.0261661)))), CSRank($vol), 11)))* -1)",前复权
alpha101,alpha101,a101_075,Alpha101_流动性条件触发,"(CSRank(Corr(($amount / $vol), $vol, 4)) < CSRank(Corr(CSRank($low), CSRank(Mean($vol, 50)), 12)))",前复权
alpha101,alpha101,a101_076,Alpha101_流动性复合反转,"(Greater(CSRank(DecayLinear((($amount / $vol) - Ref(($amount / $vol), 1.24383)), 12)), Rank(DecayLinear(Rank(Corr($low, Mean($vol, 81), 8), 20), 17), 19))* -1)",前复权
alpha101,alpha101,a101_077,Alpha101_筹码量价动量反转,"Less(CSRank(DecayLinear((((($high + $low) / 2) + $high) - (($amount / $vol) + $high)), 20)), CSRank(DecayLinear(Corr((($high + $low) / 2), Mean($vol, 40), 3), 6)))",前复权
alpha101,alpha101,a101_078,Alpha101_非线性量价关系,"(CSRank(Corr(Sum((($low* 0.352233) + (($amount / $vol)* (1 - 0.352233))), 20), Sum(Mean($vol, 40), 20), 7))**CSRank(Corr(CSRank(($amount / $vol)), CSRank($vol), 6)))",前复权
alpha101,alpha101,a101_079,Alpha101_量价支撑条件反转,"(CSRank(((($close* 0.60733) + ($open* (1 - 0.60733))) - Ref((($close* 0.60733) + ($open* (1 - 0.60733))), 1.23438))) < CSRank(Corr(Rank(($amount / $vol), 4), Rank(Mean($vol, 150), 9), 15)))",前复权
alpha101,alpha101,a101_080,Alpha101_行业内动量反转,"((CSRank(Sign(((($open* 0.868128) + ($high* (1 - 0.868128))) - Ref((($open* 0.868128) + ($high* (1 - 0.868128))), 4))))**Rank(Corr($high, Mean($vol, 10), 5), 6))* -1)",前复权
alpha101,alpha101,a101_081,Alpha101_量价均值回归做空,"((CSRank(Log(Product(CSRank((CSRank(Corr(($amount / $vol), Sum(Mean($vol, 10), 50), 8))**4)), 15))) < CSRank(Corr(CSRank(($amount / $vol)), CSRank($vol), 5)))* -1)",前复权
alpha101,alpha101,a101_082,Alpha101_量价拥挤均值回归,"(Less(CSRank(DecayLinear(($open - Ref($open, 1.46063)), 15)), Rank(DecayLinear(Corr($vol, (($open* 0.634196) + ($open* (1 - 0.634196))), 17), 7), 13))* -1)",前复权
alpha101,alpha101,a101_083,Alpha101_加权日内均值回归,"((CSRank(Ref((($high - $low) / (Sum($close, 5) / 5)), 2))* CSRank(CSRank($vol))) / ((($high - $low) / (Sum($close, 5) / 5)) / (($amount / $vol) - $close)))",前复权
alpha101,alpha101,a101_084,Alpha101_非线性超跌反转,"(Sign(Rank((($amount / $vol) - Max(($amount / $vol), 15)), 21))*Abs(Rank((($amount / $vol) - Max(($amount / $vol), 15)), 21))**($close - Ref($close, 5)))",前复权
alpha101,alpha101,a101_085,Alpha101_多维量价非线性组合,"(CSRank(Corr((($high* 0.876703) + ($close* (1 - 0.876703))), Mean($vol, 30), 10))**CSRank(Corr(Rank((($high + $low) / 2), 4), Rank($vol, 10), 7)))",前复权
alpha101,alpha101,a101_086,Alpha101_短线量价背离回归,"((Rank(Corr($close, Sum(Mean($vol, 20), 15), 6), 20) < CSRank((($open + $close) - (($amount / $vol) + $open))))* -1)",前复权
alpha101,alpha101,a101_087,Alpha101_异常度复合反转,"(Greater(CSRank(DecayLinear(((($close* 0.369701) + (($amount / $vol)* (1 - 0.369701))) - Ref((($close* 0.369701) + (($amount / $vol)* (1 - 0.369701))), 1.91233)), 3)), Rank(DecayLinear(Abs(Corr(Mean($vol, 81), $close, 13)), 5), 14))* -1)",前复权
alpha101,alpha101,a101_088,Alpha101_短线量价超卖反转,"Less(CSRank(DecayLinear(((CSRank($open) + CSRank($low)) - (CSRank($high) + CSRank($close))), 8)), Rank(DecayLinear(Corr(Rank($close, 8), Rank(Mean($vol, 60), 21), 8), 7), 3))",前复权
alpha101,alpha101,a101_089,Alpha101_多维均值回归复合,"(Rank(DecayLinear(Corr((($low* 0.967285) + ($low* (1 - 0.967285))), Mean($vol, 10), 7), 6), 4) - Rank(DecayLinear((($amount / $vol) - Ref(($amount / $vol), 3)), 10), 15))",前复权
alpha101,alpha101,a101_090,Alpha101_量价相关非线性调制,"((CSRank(($close - Max($close, 5)))**Rank(Corr(Mean($vol, 40), $low, 5), 3))* -1)",前复权
alpha101,alpha101,a101_091,Alpha101_量价微观动量背离,"((Rank(DecayLinear(DecayLinear(Corr($close, $vol, 10), 16), 4), 5) - CSRank(DecayLinear(Corr(($amount / $vol), Mean($vol, 30), 4), 3)))* -1)",前复权
alpha101,alpha101,a101_092,Alpha101_复合短期反转,"Less(Rank(DecayLinear((((($high + $low) / 2) + $close) < ($low + $open)), 15), 19), Rank(DecayLinear(Corr(CSRank($low), CSRank(Mean($vol, 30)), 8), 7), 7))",前复权
alpha101,alpha101,a101_093,Alpha101_流动性动量复合反转,"(Rank(DecayLinear(Corr(($amount / $vol), Mean($vol, 81), 17), 20), 8) / CSRank(DecayLinear(((($close* 0.524434) + (($amount / $vol)* (1 - 0.524434))) - Ref((($close* 0.524434) + (($amount / $vol)* (1 - 0.524434))), 3)), 16)))",前复权
alpha101,alpha101,a101_094,Alpha101_量价背离动量反转,"((CSRank((($amount / $vol) - Min(($amount / $vol), 12)))**Rank(Corr(Rank(($amount / $vol), 20), Rank(Mean($vol, 60), 4), 18), 3))* -1)",前复权
alpha101,alpha101,a101_095,Alpha101_量价配合度补涨,"(CSRank(($open - Min($open, 12))) < Rank((CSRank(Corr(Sum((($high + $low) / 2), 19), Sum(Mean($vol, 40), 19), 13))**5), 12))",前复权
alpha101,alpha101,a101_096,Alpha101_量价极端状态反转,"(Greater(Rank(DecayLinear(Corr(CSRank(($amount / $vol)), CSRank($vol), 4), 4), 8), Rank(DecayLinear(IdxMax(Corr(Rank($close, 7), Rank(Mean($vol, 60), 4), 4), 13), 14), 13))* -1)",前复权
alpha101,alpha101,a101_097,Alpha101_行业中性超跌卖压,"((CSRank(DecayLinear(((($low* 0.721001) + (($amount / $vol)* (1 - 0.721001))) - Ref((($low* 0.721001) + (($amount / $vol)* (1 - 0.721001))), 3)), 20)) - Rank(DecayLinear(Rank(Corr(Rank($low, 8), Rank(Mean($vol, 60), 17), 5), 19), 16), 7))* -1)",前复权
alpha101,alpha101,a101_098,Alpha101_量价动量微观异常,"(CSRank(DecayLinear(Corr(($amount / $vol), Sum(Mean($vol, 5), 26), 5), 7)) - CSRank(DecayLinear(Rank(IdxMin(Corr(CSRank($open), CSRank(Mean($vol, 15)), 21), 9), 7), 8)))",前复权
alpha101,alpha101,a101_099,Alpha101_短期过热均值回归,"((CSRank(Corr(Sum((($high + $low) / 2), 20), Sum(Mean($vol, 60), 20), 9)) < CSRank(Corr($low, $vol, 6)))* -1)",前复权
alpha101,alpha101,a101_100,Alpha101_成交量冲击高频反转,"(0 - (1* (((1.5* CSRank((((($close - $low) - ($high - $close)) / ($high - $low))* $vol))) - (Corr($close, CSRank(Mean($vol, 20)), 5) - CSRank(IdxMin($close, 30))))* ($vol / Mean($vol, 20)))))",前复权
alpha101,alpha101,a101_101,Alpha101_日内动量收盘强度,(($close - $open) / (($high - $low) + .001)),前复权
alpha158,qlib_alpha158,a158_beta10,Alpha158_趋势斜率10日,"Slope($close, 10)/$close",前复权
alpha158,qlib_alpha158,a158_beta20,Alpha158_趋势斜率20日,"Slope($close, 20)/$close",前复权
alpha158,qlib_alpha158,a158_beta30,Alpha158_趋势斜率30日,"Slope($close, 30)/$close",前复权
alpha158,qlib_alpha158,a158_beta5,Alpha158_趋势斜率5日,"Slope($close, 5)/$close",前复权
alpha158,qlib_alpha158,a158_beta60,Alpha158_趋势斜率60日,"Slope($close, 60)/$close",前复权
alpha158,qlib_alpha158,a158_cntd10,Alpha158_涨跌差10日,"Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), 10)",前复权
alpha158,qlib_alpha158,a158_cntd20,Alpha158_涨跌差20日,"Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), 20)",前复权
alpha158,qlib_alpha158,a158_cntd30,Alpha158_涨跌差30日,"Mean($close>Ref($close, 1), 30)-Mean($close<Ref($close, 1), 30)",前复权
alpha158,qlib_alpha158,a158_cntd5,Alpha158_涨跌差5日,"Mean($close>Ref($close, 1), 5)-Mean($close<Ref($close, 1), 5)",前复权
alpha158,qlib_alpha158,a158_cntd60,Alpha158_涨跌差60日,"Mean($close>Ref($close, 1), 60)-Mean($close<Ref($close, 1), 60)",前复权
alpha158,qlib_alpha158,a158_cntn10,Alpha158_下跌比例10日,"Mean($close<Ref($close, 1), 10)",前复权
alpha158,qlib_alpha158,a158_cntn20,Alpha158_下跌比例20日,"Mean($close<Ref($close, 1), 20)",前复权
alpha158,qlib_alpha158,a158_cntn30,Alpha158_下跌比例30日,"Mean($close<Ref($close, 1), 30)",前复权
alpha158,qlib_alpha158,a158_cntn5,Alpha158_下跌比例5日,"Mean($close<Ref($close, 1), 5)",前复权
alpha158,qlib_alpha158,a158_cntn60,Alpha158_下跌比例60日,"Mean($close<Ref($close, 1), 60)",前复权
alpha158,qlib_alpha158,a158_cntp10,Alpha158_上涨比例10日,"Mean($close>Ref($close, 1), 10)",前复权
alpha158,qlib_alpha158,a158_cntp20,Alpha158_上涨比例20日,"Mean($close>Ref($close, 1), 20)",前复权
alpha158,qlib_alpha158,a158_cntp30,Alpha158_上涨比例30日,"Mean($close>Ref($close, 1), 30)",前复权
alpha158,qlib_alpha158,a158_cntp5,Alpha158_上涨比例5日,"Mean($close>Ref($close, 1), 5)",前复权
alpha158,qlib_alpha158,a158_cntp60,Alpha158_上涨比例60日,"Mean($close>Ref($close, 1), 60)",前复权
alpha158,qlib_alpha158,a158_cord10,Alpha158_涨跌量相关10日,"Corr($close/Ref($close,1), Log($vol/Ref($vol, 1)+1), 10)",前复权
alpha158,qlib_alpha158,a158_cord20,Alpha158_涨跌量相关20日,"Corr($close/Ref($close,1), Log($vol/Ref($vol, 1)+1), 20)",前复权
alpha158,qlib_alpha158,a158_cord30,Alpha158_涨跌量相关30日,"Corr($close/Ref($close,1), Log($vol/Ref($vol, 1)+1), 30)",前复权
alpha158,qlib_alpha158,a158_cord5,Alpha158_涨跌量相关5日,"Corr($close/Ref($close,1), Log($vol/Ref($vol, 1)+1), 5)",前复权
alpha158,qlib_alpha158,a158_cord60,Alpha158_涨跌量相关60日,"Corr($close/Ref($close,1), Log($vol/Ref($vol, 1)+1), 60)",前复权
alpha158,qlib_alpha158,a158_corr10,Alpha158_价量相关10日,"Corr($close, Log($vol+1), 10)",前复权
alpha158,qlib_alpha158,a158_corr20,Alpha158_价量相关20日,"Corr($close, Log($vol+1), 20)",前复权
alpha158,qlib_alpha158,a158_corr30,Alpha158_价量相关30日,"Corr($close, Log($vol+1), 30)",前复权
alpha158,qlib_alpha158,a158_corr5,Alpha158_价量相关5日,"Corr($close, Log($vol+1), 5)",前复权
alpha158,qlib_alpha158,a158_corr60,Alpha158_价量相关60日,"Corr($close, Log($vol+1), 60)",前复权
alpha158,qlib_alpha158,a158_imax10,Alpha158_最高位置10日,"IdxMax($high, 10)/10",前复权
alpha158,qlib_alpha158,a158_imax20,Alpha158_最高位置20日,"IdxMax($high, 20)/20",前复权
alpha158,qlib_alpha158,a158_imax30,Alpha158_最高位置30日,"IdxMax($high, 30)/30",前复权
alpha158,qlib_alpha158,a158_imax5,Alpha158_最高位置5日,"IdxMax($high, 5)/5",前复权
alpha158,qlib_alpha158,a158_imax60,Alpha158_最高位置60日,"IdxMax($high, 60)/60",前复权
alpha158,qlib_alpha158,a158_imin10,Alpha158_最低位置10日,"IdxMin($low, 10)/10",前复权
alpha158,qlib_alpha158,a158_imin20,Alpha158_最低位置20日,"IdxMin($low, 20)/20",前复权
